"Date","Price","Open","High","Low","Vol.","Change %"
"05/22/2017","434.25","437.00","442.50","434.00","68.28K","-0.23%"
"05/19/2017","435.25","425.25","436.75","425.25","54.65K","2.23%"
"05/18/2017","425.75","429.25","429.25","421.25","66.13K","-0.29%"
"05/17/2017","427.00","423.00","432.25","421.50","63.69K","0.65%"
"05/16/2017","424.25","423.25","426.00","420.25","73.17K","0.24%"
"05/15/2017","423.25","430.25","431.00","421.50","67.80K","-0.41%"
"05/12/2017","425.00","445.25","445.25","416.25","0.01K","-0.23%"
"05/11/2017","426.00","425.75","434.00","425.75","0.01K","0.47%"
"05/10/2017","424.00","424.00","424.00","420.75","0.03K","0.53%"
"05/09/2017","421.75","421.00","423.25","420.50","0.03K","0.90%"
"05/08/2017","418.00","426.00","426.00","421.25","0.06K","-2.22%"
"05/05/2017","427.50","428.00","428.00","428.00","0.01K","0.35%"
"05/04/2017","426.00","442.00","442.00","425.75","0.35K","-3.84%"
"05/03/2017","443.00","442.00","442.00","440.00","0.60K","0.34%"
"05/02/2017","441.50","445.75","450.75","438.75","0.23K","-0.28%"
"05/01/2017","442.75","423.75","442.25","423.75","1.08K","5.79%"
"04/28/2017","418.50","413.00","418.50","413.00","2.49K","1.21%"
"04/27/2017","413.50","407.00","415.00","406.00","25.26K","1.41%"
"04/26/2017","407.75","409.00","413.75","405.75","31.17K","-0.24%"
"04/25/2017","408.75","402.75","411.00","398.50","50.47K","1.55%"
"04/24/2017","402.50","406.50","408.50","401.25","37.65K","-0.62%"
"04/21/2017","405.00","406.00","408.00","400.00","77.28K","-0.31%"
"04/20/2017","406.25","418.00","421.75","405.25","72.67K","-3.04%"
"04/19/2017","419.00","421.50","425.75","417.50","59.27K","-0.83%"
"04/18/2017","422.50","421.75","423.75","419.00","67.01K","0.36%"
"04/17/2017","421.00","430.25","431.25","419.75","67.54K","-2.04%"
